time,body_id,body_name,x,y,z,q0,q1,q2,q3
0.000050,0,oct_000,0.00000001,0.00000000,-0.00000003,1.00000000,-0.00000005,0.00000006,0.00000000
0.000050,1,oct_100,1.41421357,0.00000000,-0.00000002,1.00000000,0.00000000,-0.00000007,0.00000000
0.000050,2,oct_010,0.00000000,1.41421357,-0.00000003,1.00000000,0.00000005,-0.00000000,0.00000000
0.000050,3,oct_110,1.41421357,1.41421357,-0.00000002,1.00000000,0.00000000,-0.00000000,0.00000000
0.000050,4,oct_001,0.00000000,-0.00000000,1.41421353,1.00000000,0.00000005,-0.00000007,0.00000002
0.000050,5,oct_101,1.41421356,0.00000000,1.41421354,1.00000000,0.00000000,0.00000006,-0.00000002
0.000050,6,oct_011,-0.00000000,1.41421356,1.41421354,1.00000000,-0.00000005,-0.00000000,-0.00000002
0.000050,7,oct_111,1.41421356,1.41421356,1.41421354,1.00000000,0.00000000,-0.00000000,0.00000002
0.000050,8,oct_002,-0.00000000,-0.00000000,2.82842710,1.00000000,-0.00000005,0.00000006,0.00000000
0.000050,9,oct_102,1.41421356,-0.00000000,2.82842710,1.00000000,0.00000000,-0.00000007,0.00000000
0.000050,10,oct_012,-0.00000001,1.41421356,2.82842710,1.00000000,0.00000005,-0.00000000,0.00000000
0.000050,11,oct_112,1.41421356,1.41421356,2.82842710,1.00000000,0.00000000,-0.00000000,0.00000000
0.000050,12,top_sphere_00,0.00000008,0.00000007,3.53553388,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,13,top_sphere_10,1.41421346,-0.00000000,3.53553388,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,14,top_sphere_01,-0.00000001,1.41421348,3.53553388,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,15,top_sphere_11,1.41421355,1.41421356,3.53553389,1.00000000,0.00000000,0.00000000,0.00000000
0.012550,0,oct_000,0.00000135,0.00000078,-0.00078921,1.00000000,-0.00001258,0.00001575,0.00000012
0.012550,1,oct_100,1.41421492,0.00000112,-0.00078802,1.00000000,0.00000033,-0.00001658,0.00000012
0.012550,2,oct_010,0.00000101,1.41421434,-0.00078826,1.00000000,0.00001324,-0.00000042,0.00000012
0.012550,3,oct_110,1.41421458,1.41421468,-0.00078708,1.00000000,0.00000033,-0.00000042,0.00000012
0.012550,4,oct_001,0.00000017,-0.00000017,1.41342435,1.00000000,0.00001324,-0.00001658,0.00000409
0.012550,5,oct_101,1.41421373,0.00000017,1.41342554,1.00000000,0.00000033,0.00001575,-0.00000385
0.012550,6,oct_011,-0.00000017,1.41421339,1.41342530,1.00000000,-0.00001258,-0.00000042,-0.00000385
0.012550,7,oct_111,1.41421339,1.41421373,1.41342648,1.00000000,0.00000033,-0.00000042,0.00000409
0.012550,8,oct_002,-0.00000101,-0.00000111,2.82763791,1.00000000,-0.00001258,0.00001575,0.00000012
0.012550,9,oct_102,1.41421255,-0.00000077,2.82763910,1.00000000,0.00000033,-0.00001658,0.00000012
0.012550,10,oct_012,-0.00000135,1.41421245,2.82763886,1.00000000,0.00001324,-0.00000042,0.00000012
0.012550,11,oct_112,1.41421221,1.41421279,2.82764004,1.00000000,0.00000033,-0.00000042,0.00000012
0.012550,12,top_sphere_00,0.00002126,0.00001667,3.53474470,1.00000000,0.00000000,0.00000000,-0.00000000
0.012550,13,top_sphere_10,1.41418910,-0.00000125,3.53474588,1.00000000,-0.00000000,-0.00000000,-0.00000000
0.012550,14,top_sphere_01,-0.00000195,1.41419372,3.53474564,1.00000000,0.00000000,-0.00000000,-0.00000000
0.012550,15,top_sphere_11,1.41421162,1.41421231,3.53474683,1.00000000,0.00000000,0.00000000,0.00000000
0.025050,0,oct_000,0.00000270,0.00000155,-0.00313332,1.00000000,-0.00002508,0.00003140,0.00000024
0.025050,1,oct_100,1.41421626,0.00000222,-0.00313096,1.00000000,0.00000066,-0.00003307,0.00000024
0.025050,2,oct_010,0.00000202,1.41421511,-0.00313144,1.00000000,0.00002641,-0.00000083,0.00000024
0.025050,3,oct_110,1.41421558,1.41421579,-0.00312908,1.00000000,0.00000067,-0.00000083,0.00000024
0.025050,4,oct_001,0.00000034,-0.00000034,1.41108024,1.00000000,0.00002641,-0.00003307,0.00000816
0.025050,5,oct_101,1.41421390,0.00000034,1.41108260,1.00000000,0.00000067,0.00003140,-0.00000768
0.025050,6,oct_011,-0.00000034,1.41421322,1.41108212,1.00000000,-0.00002508,-0.00000083,-0.00000768
0.025050,7,oct_111,1.41421322,1.41421390,1.41108448,1.00000000,0.00000067,-0.00000083,0.00000816
0.025050,8,oct_002,-0.00000202,-0.00000222,2.82529380,1.00000000,-0.00002508,0.00003140,0.00000024
0.025050,9,oct_102,1.41421154,-0.00000154,2.82529616,1.00000000,0.00000067,-0.00003307,0.00000024
0.025050,10,oct_012,-0.00000270,1.41421134,2.82529568,1.00000000,0.00002641,-0.00000083,0.00000024
0.025050,11,oct_112,1.41421086,1.41421202,2.82529804,1.00000000,0.00000067,-0.00000083,0.00000024
0.025050,12,top_sphere_00,0.00004239,0.00003324,3.53240057,1.00000000,0.00000000,0.00000000,-0.00000000
0.025050,13,top_sphere_10,1.41416477,-0.00000249,3.53240294,1.00000000,-0.00000000,-0.00000000,-0.00000000
0.025050,14,top_sphere_01,-0.00000388,1.41417399,3.53240246,1.00000000,0.00000000,-0.00000000,-0.00000000
0.025050,15,top_sphere_11,1.41420968,1.41421107,3.53240482,1.00000000,0.00000000,-0.00000000,-0.00000000
0.037550,0,oct_000,0.00000404,0.00000232,-0.00702848,1.00000000,-0.00003756,0.00004704,0.00000036
0.037550,1,oct_100,1.41421760,0.00000333,-0.00702495,1.00000000,0.00000099,-0.00004953,0.00000036
0.037550,2,oct_010,0.00000302,1.41421587,-0.00702567,1.00000000,0.00003955,-0.00000125,0.00000036
0.037550,3,oct_110,1.41421659,1.41421689,-0.00702214,1.00000000,0.00000099,-0.00000125,0.00000036
0.037550,4,oct_001,0.00000052,-0.00000050,1.40718507,1.00000000,0.00003956,-0.00004953,0.00001222
0.037550,5,oct_101,1.41421407,0.00000051,1.40718860,1.00000000,0.00000100,0.00004704,-0.00001150
0.037550,6,oct_011,-0.00000051,1.41421306,1.40718789,1.00000000,-0.00003756,-0.00000125,-0.00001150
