time,body_id,body_name,x,y,z,q0,q1,q2,q3
0.000050,0,oct_000,0.00000001,-0.00000001,-0.00000002,1.00000000,0.00000003,0.00000001,0.00000000
0.000050,1,oct_100,1.41421357,0.00000000,-0.00000002,1.00000000,-0.00000000,-0.00000001,0.00000000
0.000050,2,oct_010,-0.00000000,1.41421356,-0.00000003,1.00000000,-0.00000003,-0.00000000,0.00000000
0.000050,3,oct_110,1.41421356,1.41421357,-0.00000003,1.00000000,-0.00000000,-0.00000000,0.00000000
0.000050,4,oct_001,0.00000000,-0.00000000,1.41421354,1.00000000,-0.00000003,-0.00000001,0.00000012
0.000050,5,oct_101,1.41421357,0.00000000,1.41421354,1.00000000,-0.00000000,0.00000001,-0.00000011
0.000050,6,oct_011,-0.00000000,1.41421356,1.41421354,1.00000000,0.00000003,-0.00000000,-0.00000011
0.000050,7,oct_111,1.41421356,1.41421357,1.41421354,1.00000000,-0.00000000,-0.00000000,0.00000012
0.000050,8,oct_002,0.00000000,-0.00000000,2.82842710,1.00000000,0.00000003,0.00000001,0.00000000
0.000050,9,oct_102,1.41421357,0.00000001,2.82842710,1.00000000,-0.00000000,-0.00000001,0.00000000
0.000050,10,oct_012,-0.00000001,1.41421356,2.82842710,1.00000000,-0.00000003,-0.00000000,0.00000000
0.000050,11,oct_112,1.41421356,1.41421357,2.82842710,1.00000000,-0.00000000,-0.00000000,0.00000000
0.000050,12,bot_sphere_00,-0.00000001,0.00000003,-0.70710681,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,13,bot_sphere_10,1.41421358,0.00000000,-0.70710680,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,14,bot_sphere_01,-0.00000000,1.41421351,-0.70710681,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,15,bot_sphere_11,1.41421356,1.41421356,-0.70710681,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,16,top_sphere_00,0.00000002,-0.00000004,3.53553388,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,17,top_sphere_10,1.41421356,0.00000001,3.53553388,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,18,top_sphere_01,-0.00000001,1.41421360,3.53553388,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,19,top_sphere_11,1.41421356,1.41421357,3.53553388,1.00000000,0.00000000,0.00000000,0.00000000
0.012550,0,oct_000,0.00000139,-0.00000180,-0.00078794,1.00000000,0.00000736,0.00000197,0.00000088
0.012550,1,oct_100,1.41421495,0.00000069,-0.00078779,1.00000000,-0.00000020,-0.00000208,0.00000088
0.012550,2,oct_010,-0.00000110,1.41421176,-0.00078849,1.00000000,-0.00000775,-0.00000005,0.00000088
